Date,Country,Confirmed,Deaths,Recovered
2020-03-01,Italy,1694,34,83
2020-03-01,USA,62,0,6
2020-03-01,China,80026,2912,44518
2020-03-02,Italy,2036,52,149
2020-03-02,USA,86,2,6
2020-03-02,China,80151,2943,47743
2020-03-03,Italy,2502,79,276
2020-03-03,USA,106,6,8
2020-03-03,China,80270,2981,49856
